rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
38,Luis Severino,3 Tms,0.2884990253411306,1.259100642,0.204673954,0.443271767,0.352054278,0.104925053,0.127408993,589.0,5.548848632212495,5450.0,10320.0,15770.0,0.38432836,0.35932836,0.25634328,0.18955224,0.48619403,0.32425373
39,Eduardo Rodriguez,3 Tms,0.3106538333886492,1.097686375,0.212101705,0.412294818,0.375603476,0.096829477,0.119108826,665.0,5.487469392869425,6781.0,11842.0,18623.0,0.38051412,0.36052047,0.25896541,0.18184703,0.52269121,0.29546176
40,Joe Musgrove,3 Tms,0.29579637485537985,1.263607257,0.209761549,0.441132637,0.349105812,0.092849519,0.130202774,482.0,4.539239689736337,4997.0,10110.0,15107.0,0.43030973,0.34144543,0.22824484,0.18067847,0.50331858,0.31600295
41,Jameson Taillon,3 Tms,0.28350983358547655,1.036842105,0.208357685,0.402980713,0.388661601,0.106015037,0.12255639,648.0,5.063965404711614,6259.0,12068.0,18327.0,0.42354299,0.33958454,0.23687248,0.178015,0.51442585,0.30755915
42,Jon Gray,2 Tms,0.30594594594594593,1.366982124,0.216225626,0.452646239,0.331128133,0.093585699,0.139852786,598.0,5.378414260551825,5694.0,10482.0,16176.0,0.37667699,0.36050912,0.2628139,0.1630547,0.48847609,0.34846921
43,Jose Quintana,8 Tms,0.29417263945154254,1.296888888,0.213394216,0.44414003,0.342465753,0.080888888,0.113777777,639.0,5.142474070085628,7206.0,11507.0,18713.0,0.38530735,0.36131934,0.25337331,0.16821589,0.50134933,0.33043478
44,Freddy Peralta,2 Tms,0.2586123241145075,0.83368421,0.187878787,0.369230769,0.442890442,0.137894736,0.118947368,481.0,4.95497918151093,5756.0,9390.0,15146.0,0.39548803,0.32642726,0.27808471,0.18139963,0.50644567,0.3121547
45,Lucas Giolito,4 Tms,0.27721088435374147,0.942063492,0.209625322,0.383397932,0.406976744,0.113492063,0.139682539,645.0,5.104044699872571,6884.0,12149.0,19033.0,0.41407003,0.33247671,0.25345326,0.17185994,0.50497912,0.32316094
46,Jack Flaherty,4 Tms,0.28496573962112054,1.09014675,0.23011583,0.401544401,0.368339768,0.10062893,0.142557651,570.0,5.111258721271655,6387.0,10802.0,17189.0,0.42889908,0.33103976,0.24006116,0.17125382,0.49464832,0.33409786
47,Trevor Bauer,3 Tms,0.2879640044994376,1.051893408,0.208761492,0.405624661,0.385613845,0.116409537,0.134642356,398.0,4.836183585151078,4688.0,7892.0,12580.0,0.41857982,0.34543513,0.23598505,0.16550988,0.47624132,0.3582488
48,Tyler Glasnow,3 Tms,0.27061044682190055,1.300168634,0.182744158,0.461953265,0.355302576,0.08094435,0.150084317,396.0,5.130518295208221,4018.0,7068.0,11086.0,0.3958209,0.36,0.2441791,0.16298507,0.49373134,0.34328358
49,Kyle Freeland,COL,0.31035359959297887,1.301575931,0.206078576,0.448974549,0.344946874,0.095272206,0.12965616,609.0,4.316881306769217,7208.0,13057.0,20265.0,0.42679961,0.36162451,0.21157588,0.16488327,0.47689689,0.35821984
50,Zach Eflin,3 Tms,0.3026675786593707,1.231053604,0.199867417,0.441498176,0.358634405,0.093345656,0.138632162,607.0,5.473947780713432,5082.0,10274.0,15356.0,0.42550423,0.34124919,0.23324658,0.17761874,0.50195185,0.32042941
51,Logan Gilbert,SEA,0.27466666666666667,0.965299684,0.200256739,0.392811296,0.406931964,0.0893796,0.119873817,426.0,4.435788844501876,4720.0,9003.0,13723.0,0.428511,0.33417936,0.23730964,0.1357868,0.53003384,0.33417936
52,Walker Buehler,4 Tms,0.2742369838420108,1.306717363,0.208695652,0.448260869,0.343043478,0.08365019,0.130544993,498.0,5.329369882467021,4617.0,8878.0,13495.0,0.38831615,0.35953608,0.25214777,0.1709622,0.49441581,0.33462199
53,Nick Pivetta,3 Tms,0.29401767505098575,0.93463035,0.195469255,0.388673139,0.415857605,0.100389105,0.141634241,603.0,4.789938184868201,6798.0,12545.0,19343.0,0.40198591,0.34593209,0.252082,0.15663037,0.50192184,0.34144779
