rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
15,Nick Pivetta,SDP,16.0,36.0,86.16944376627605,97.7,105.9,23.97222222222222,1.0,0.02777778,11.0,0.30555556,4.5,1.7613244324278572
16,Randy Vásquez,SDP,28.2,74.0,89.70547945205479,104.2,114.1,13.753424657534246,10.0,0.13513514,31.0,0.41891892,1.8837209720106118,5.431262135104977
17,Max Fried,NYY,33.1,94.0,86.83440702704974,103.2,111.1,9.344086021505376,1.0,0.0106383,28.0,0.29787234,2.9700001132965133,2.2744434027686355
18,Reid Detmers,LAA,28.2,78.0,88.49341944644326,104.7,111.4,19.592105263157894,5.0,0.06410256,28.0,0.35897436,4.081395575135008,2.7339180553463143
19,Shota Imanaga,CHC,29.0,70.0,89.84285539899554,103.3,109.0,21.457142857142856,5.0,0.07142857,30.0,0.42857143,2.1724137931034484,2.5698160311797476
20,Landen Roupp,SFG,27.2,65.0,85.42031192779541,102.2,106.4,8.78125,0.0,0.0,15.0,0.23076923,2.2771084860631294,2.5814956294147207
21,Tyler Glasnow,LAD,25.0,60.0,91.1,104.2,108.8,14.816666666666666,4.0,0.06666667,23.0,0.38333333,3.24,2.6152720108310907
22,Logan Gilbert,SEA,29.0,77.0,91.04605263157895,105.0,112.8,18.57894736842105,7.0,0.09090909,35.0,0.45454545,4.034482891295956,3.080777231674694
23,Yoshinobu Yamamoto,LAD,32.2,89.0,88.00229828933189,103.8,111.3,14.908045977011493,6.0,0.06741573,31.0,0.34831461,2.479591884994349,3.5113363235422455
24,Shohei Ohtani,LAD,18.0,44.0,86.24545288085938,102.8,111.2,14.590909090909092,2.0,0.04545455,17.0,0.38636364,0.5,2.2997878574201707
25,Rhett Lowder,CIN,29.0,91.0,89.75976983432112,105.6,112.8,17.264367816091955,7.0,0.07692308,31.0,0.34065934,3.1034483779199658,3.9653509756345016
26,Framber Valdez,DET,30.0,97.0,88.9494842843911,105.1,109.4,7.453608247422681,4.0,0.04123711,40.0,0.41237113,3.3,3.263681215335896
27,Carmen Mlodzinski,PIT,18.2,56.0,94.0750013078962,107.1,109.4,10.75,1.0,0.01785714,35.0,0.625,4.339286083773723,3.654974025918559
28,Mitch Keller,PIT,29.0,86.0,85.96627878588299,103.1,109.5,14.279069767441861,2.0,0.02325581,33.0,0.38372093,2.793103448275862,3.502853641109482
29,Bryce Elder,ATL,30.0,78.0,89.77402565696023,104.6,110.8,10.402597402597403,3.0,0.03846154,27.0,0.34615385,1.5000000953674377,2.6788038960102405
30,Bailey Ober,MIN,26.0,77.0,86.37532499239042,104.8,114.0,19.532467532467532,7.0,0.09090909,26.0,0.33766234,4.153846306208329,3.9063786388910495
31,Ryan Weathers,NYY,28.1,72.0,88.23802765322404,110.1,113.8,11.112676056338028,9.0,0.125,31.0,0.43055556,3.1764707307914612,4.617794753674986
32,Michael Wacha,KCR,27.0,66.0,90.39687442779541,103.3,110.9,18.875,5.0,0.07575758,31.0,0.46969697,1.0,3.4590722246602086
33,Casey Mize,DET,22.2,61.0,88.53114794121414,104.6,109.5,17.327868852459016,6.0,0.09836066,28.0,0.45901639,2.779411959606897,3.6187749024126457
34,Trevor Rogers,BAL,28.2,88.0,87.80804513514727,103.6,109.7,20.816091954022987,5.0,0.05681818,25.0,0.28409091,4.081395439356326,3.393556947011348
35,Will Warren,NYY,25.1,67.0,90.60746013584422,106.5,115.0,10.119402985074627,5.0,0.07462687,30.0,0.44776119,2.4868423237034682,3.6604407837697504
36,Mick Abel,MIN,17.0,45.0,89.5139529206032,103.3,109.2,13.837209302325581,3.0,0.06666667,20.0,0.44444444,2.1176470588235294,3.9860439557202656
37,Davis Martin,CHW,25.0,68.0,92.48507462686567,105.6,113.7,16.597014925373134,6.0,0.08823529,36.0,0.52941176,2.16,4.750790945919264
38,Jeffrey Springs,ATH,29.2,80.0,86.32625122070313,101.8,114.1,16.1875,7.0,0.0875,25.0,0.3125,3.3370787232019388,3.0530042086341695
39,Chase Burns,CIN,28.0,70.0,89.02835857334422,104.7,113.1,19.074626865671643,6.0,0.08571429,29.0,0.41428571,2.5714286590109094,3.8773683785731494
40,Edward Cabrera,CHC,22.2,63.0,91.00322698777721,107.5,115.4,11.951612903225806,7.0,0.11111111,24.0,0.38095238,2.3823530079996726,4.233110131627227
41,Jesús Luzardo,PHI,27.1,79.0,86.24358974358974,104.3,110.9,6.67948717948718,4.0,0.05063291,26.0,0.32911392,6.9146347092703255,3.6076728864536936
42,Max Meyer,MIA,25.0,70.0,89.2608686806499,106.5,112.1,12.73913043478261,6.0,0.08571429,27.0,0.38571429,3.9600001510620175,4.374410433899999
43,Michael Soroka,ARI,22.2,56.0,91.7036376953125,104.9,108.7,14.836363636363636,9.0,0.16071429,27.0,0.48214286,2.779411842666285,4.947413397938115
44,Jacob Misiorowski,MIL,26.2,54.0,87.56851874457465,101.6,107.7,15.018518518518519,3.0,0.05555556,21.0,0.38888889,3.037500072419645,2.8889065055986296
45,Kyle Bradish,BAL,25.0,74.0,87.11971830985915,103.9,114.2,7.887323943661972,6.0,0.08108108,28.0,0.37837838,4.6800001785278385,3.6740831310175337
46,Justin Wrobleski,LAD,20.0,64.0,87.11562728881836,104.6,109.4,11.625,4.0,0.0625,26.0,0.40625,0.9,3.897185132881987
47,Joe Boyle,TBR,15.2,44.0,87.3279064089753,103.7,108.4,19.41860465116279,2.0,0.04545455,19.0,0.43181818,5.170212975774439,4.301153728422062
48,Logan Webb,SFG,30.0,93.0,91.84725382039835,105.9,114.4,1.3846153846153846,6.0,0.06451613,48.0,0.51612903,5.4,4.413065972909441
49,Hunter Brown,HOU,10.2,20.0,85.58999938964844,99.5,102.8,11.15,0.0,0.0,6.0,0.3,0.843750050291422,1.8128678406458654
50,Jacob deGrom,TEX,19.2,47.0,90.57233964635971,104.2,108.6,25.127659574468087,5.0,0.10638298,17.0,0.36170213,2.2881356671910584,2.6869763642728777
51,Shane Baz,BAL,28.1,91.0,88.73955963470124,103.8,107.9,14.373626373626374,6.0,0.06593407,35.0,0.38461538,5.082353169266338,4.241167843223298
52,George Kirby,SEA,33.1,93.0,91.27934862219769,105.9,109.2,8.46236559139785,5.0,0.05376344,44.0,0.47311828,2.9700001132965133,2.9071925071821405
53,Luis Castillo,SEA,23.1,76.0,92.46400065104167,104.8,112.3,13.64,7.0,0.09210526,36.0,0.47368421,5.014285987542615,5.635557985027832
54,Michael King,SDP,27.2,68.0,89.2378798976089,106.8,114.6,16.196969696969695,7.0,0.10294118,25.0,0.36764706,2.2771084860631294,4.1934688703519765
55,Paul Skenes,PIT,22.0,56.0,85.77678407941546,103.0,106.8,14.982142857142858,3.0,0.05357143,17.0,0.30357143,3.272727423462993,2.3533332101206894
56,David Peterson,NYM,19.2,65.0,90.6741923670615,104.4,111.3,7.338709677419355,2.0,0.03076923,36.0,0.55384615,6.406779868134963,4.991729416044789
57,Emerson Hancock,SEA,28.2,72.0,90.19285714285714,105.0,113.1,14.314285714285715,9.0,0.125,26.0,0.36111111,2.8255814580159178,3.832469347397032
58,Kris Bubic,KCR,28.2,71.0,90.15428553989955,105.7,114.2,15.228571428571428,7.0,0.09859155,28.0,0.3943662,4.081395439356326,4.173165121566112
59,Ranger Suarez,BOS,22.1,65.0,87.5953838641827,107.2,111.1,8.923076923076923,6.0,0.09230769,25.0,0.38461538,3.223880642903465,4.578022872259131
60,Brandon Woodruff,MIL,23.2,69.0,89.50882317038143,102.8,107.3,21.808823529411764,5.0,0.07246377,22.0,0.31884058,3.4225353032108172,2.787106834268062
61,Sandy Alcantara,MIA,35.1,104.0,89.10392252604167,103.6,108.8,16.352941176470587,5.0,0.04807692,39.0,0.375,3.0566038010849486,2.8440889306068535
62,Aaron Nola,PHI,26.2,76.0,89.58289377312911,106.0,111.5,13.460526315789474,6.0,0.07894737,32.0,0.42105263,5.062500120699409,4.684817975377227
63,Joey Cantillo,CLE,25.1,60.0,90.42000122070313,106.0,111.7,14.516666666666667,7.0,0.11666667,26.0,0.43333333,3.197368701904459,3.676491871551957
64,Walker Buehler,SDP,17.2,48.0,90.83958435058594,103.2,107.4,8.208333333333334,2.0,0.04166667,17.0,0.35416667,4.58490582537762,3.9917576117620786
65,Jack Kochanowicz,LAA,29.0,85.0,91.07000274658203,105.2,111.4,5.9,7.0,0.08235294,36.0,0.42352941,3.1034484799778697,5.108457581527685
66,Andrew Abbott,CIN,24.2,88.0,88.3365850681212,105.6,113.0,11.902439024390244,6.0,0.06818182,31.0,0.35227273,5.837838214013268,4.886877626480163
67,Shane McClanahan,TBR,18.0,51.0,89.55319278798204,105.5,111.2,12.659574468085106,6.0,0.11764706,22.0,0.43137255,5.000000264909547,4.68295945537626
68,Gavin Williams,CLE,29.2,58.0,92.55000042093211,107.4,112.5,5.706896551724138,8.0,0.13793103,28.0,0.48275862,2.1235955511285063,3.502103465967913
69,Dustin May,STL,24.2,79.0,89.34934938108766,105.9,114.7,15.168831168831169,4.0,0.05063291,37.0,0.46835443,5.837837988308004,4.29755349994769
70,Matthew Boyd,CHC,9.1,17.0,94.6352933995864,110.5,110.8,20.352941176470587,3.0,0.17647059,10.0,0.58823529,6.750000919614645,4.423302913405549
71,Yusei Kikuchi,LAA,24.0,72.0,91.33055623372395,106.2,116.2,10.944444444444445,6.0,0.08333333,32.0,0.44444444,5.625000223517427,5.0406407890916265
72,Kumar Rocker,TEX,20.2,62.0,89.01290204448085,106.5,110.6,5.548387096774194,3.0,0.0483871,27.0,0.43548387,3.4838710749186568,3.8150551618315856
73,Aaron Civale,ATH,20.1,66.0,91.4046161358173,104.6,111.4,15.738461538461538,4.0,0.06060606,34.0,0.51515152,3.540983827996415,4.038714632256815
74,Andrew Painter,PHI,13.1,44.0,88.10000055486506,106.1,113.0,20.5,3.0,0.06818182,15.0,0.34090909,5.4000001287460355,3.4603622645532144
75,Zac Gallen,ARI,25.2,89.0,92.15227439186789,103.8,111.8,13.784090909090908,9.0,0.1011236,42.0,0.47191011,3.506493593352023,5.317693524444276
76,Janson Junk,MIA,22.0,71.0,90.65000107709099,104.9,111.9,10.514705882352942,3.0,0.04225352,30.0,0.42253521,4.500000195069755,3.560887355585873
77,Grant Holmes,ATL,26.1,75.0,89.272001953125,103.6,108.1,14.093333333333334,4.0,0.05333333,30.0,0.4,3.4177216840199187,3.505754687907746
78,Walbert Urena,LAA,6.0,14.0,84.38571602957589,102.0,105.1,11.857142857142858,0.0,0.0,4.0,0.28571429,3.0,1.1331848900993273
79,Lance McCullers Jr.,HOU,20.1,54.0,90.4944435402199,104.3,111.9,12.75925925925926,5.0,0.09259259,27.0,0.5,6.196721408354985,4.377089993159196
80,Jack Flaherty,DET,23.1,61.0,90.13050764698093,103.9,113.5,23.440677966101696,5.0,0.08196721,27.0,0.44262295,3.471428760606426,4.851806940861174
