rank,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
41,Edward Cabrera,CHC,6.750000189332407,4.3676471813327336,1.54545455,0.0,0.18681319,0.12087912,0.06593407,0.225,1.2794118005924169,0.2857142857142857,0.79310345,60.57128622994071,76.63152355829025,105.63495134427183,2.3823530079996726,3.0991911819649403,-0.7168381739652676,4.315866390678674,4.869593706582806
42,Max Meyer,MIA,10.0800003845215,3.9600001510620175,2.54545455,0.7200000274658214,0.25225225,0.0990991,0.15315315,0.20408163265306123,1.2400000473022479,0.2647058823529412,0.72847682,97.54988406418256,85.38291462011695,92.47797535753418,3.9600001510620175,3.5033088439941418,0.45669130706787575,3.7870514447686245,3.8016466647655784
43,Jeffrey Springs,ATH,8.191011411495667,2.7303371371652227,3.0,1.2134831720734323,0.23275862,0.07758621,0.15517241,0.18691588785046728,0.9775281108369315,0.21052631578947367,0.76923077,76.19287708783634,93.71113979846612,92.2881065623468,3.3370787232019388,3.9860054775344476,-0.6489267543325088,3.859986888045473,3.831965709432534
44,Michael Soroka,ARI,11.11764737066514,2.3823530079996726,4.66666667,0.7941176693332243,0.30107527,0.06451613,0.23655914,0.21428571428571427,1.0588235591109656,0.2962962962962963,0.82644628,68.71097351026143,75.7465152939206,74.90069236763138,2.779411842666285,3.01095588537236,-0.2315440427060751,3.0805722383825476,2.920151351136515
45,Jacob Misiorowski,MIL,14.175000337958345,4.050000096559526,3.5,1.3500000321865089,0.37837838,0.10810811,0.27027027,0.17708333333333334,1.0875000259280212,0.26,0.79545455,76.41560696847179,88.43758443133277,67.09130177999006,3.037500072419645,3.6308088418841367,-0.5933087694644916,2.7666914146007917,2.687735781381471
46,Nick Martinez,TBR,6.00000019073487,2.400000076293948,2.5,0.9000000286102304,0.16393443,0.06557377,0.09836066,0.21929824561403508,1.1000000349680594,0.24175824175824176,0.90277778,48.86556845544625,91.880248771251,105.0311145891527,2.1000000667572043,3.9099755212995753,-1.809975454542371,4.4025436275159455,4.538369334974046
47,Justin Wrobleski,LAD,3.15,1.8,1.75,0.0,0.09333333,0.05333333,0.04,0.16901408450704225,0.8,0.1875,0.875,22.585435052647053,71.86690787831532,118.57287246549988,0.9,3.0433088302612306,-2.1433088302612306,4.835876920819283,5.257390363468822
48,Kyle Bradish,BAL,10.0800003845215,4.6800001785278385,2.15384615,0.7200000274658214,0.24347826,0.11304348,0.13043478,0.30392156862745096,1.7600000671386744,0.4027777777777778,0.7038835,94.31506175802954,84.43456103912568,89.27962938525222,3.9600001510620175,3.5033088439941418,0.45669130706787575,3.731895501416652,4.041635956967871
49,Logan Webb,SFG,8.1,3.3,2.45454545,0.6,0.20454545,0.08333333,0.12121212,0.25833333333333336,1.4,0.31868131868131866,0.59701493,138.14609467619042,86.25486591006023,83.26138077410815,5.4,3.4099754969278973,1.990024503072103,3.416611233353615,3.644597533974463
50,Joe Boyle,TBR,9.191489734710114,3.4468086505162927,2.66666667,0.5744681084193821,0.24242424,0.09090909,0.15151515,0.18333333333333332,1.0851064270143884,0.23255813953488372,0.38461538,120.30732765026737,72.70456711112193,93.74397273983021,5.170212975774439,3.079479040436855,2.0907339353375844,3.9219730379952455,3.8763039650791216
51,Hunter Brown,HOU,14.343750854954175,5.062500301748532,2.83333333,0.0,0.39534884,0.13953488,0.25581395,0.13513513513513514,1.0312500614672937,0.25,0.90909091,19.92042962779937,40.413607435931745,58.44227850205329,0.843750050291422,1.6433087408542582,-0.7995586905628361,2.418939210884594,2.946741684145047
52,Jacob deGrom,TEX,11.44067833595529,2.74576280062927,4.16666667,1.372881400314635,0.32051282,0.07692308,0.24358974,0.20833333333333334,1.0677966446891605,0.2727272727272727,0.95238095,54.474905011395386,83.2166394772272,83.34852077699064,2.2881356671910584,3.4992410451576177,-1.2111053779665593,3.4793677668994625,3.1327443229148364
