rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
52,George Kirby,SEA,33.1,89.34,119.22831168831169,82.36,,104.8517525773196,,87.447,105.12905660377359,,98.9718413381123,113.54266666666668,111.42014145758664
53,Chase Burns,CIN,22.1,105.12666666666668,,,,123.24933333333334,,93.33538461538463,,,110.55732558139535,101.24470930232559,112.01941860465118
54,Paul Skenes,PIT,22.0,100.94551181102362,102.97050847457628,,84.7656,123.25377049180327,121.102,81.3507042253521,,,100.55877364525269,111.0290158091931,110.05167687105913
55,David Peterson,NYM,19.2,79.45114754098361,91.92018348623854,,,91.34982456140351,81.13846153846154,89.66538461538462,,,87.08186891427324,100.488944619491,92.62934266687164
56,Michael King,SDP,27.2,110.08034482758619,92.94672268907563,,,104.12986301369862,,77.00322580645161,,,93.78777915451894,84.53321501457724,79.31237026239067
57,Luis Castillo,SEA,18.1,104.383537414966,96.6992405063291,85.64,,107.59295238095237,,93.77000000000001,,,102.54873428496595,111.92364064955474,114.92148376113148
58,Ranger Suarez,BOS,22.1,87.61023255813956,96.28061224489795,87.98090909090911,,134.3,102.87116279069768,92.2821052631579,,,93.64465696969698,103.09570343434342,100.81217050505052
59,Brandon Woodruff,MIL,23.2,110.59548387096775,97.56707692307693,85.70390243902439,,114.924,87.37529411764706,92.19661971830988,,,99.71232744490986,99.72898561282098,96.3808377344746
60,Joey Cantillo,CLE,25.1,92.48124223602484,,,,80.3141935483871,105.23559999999999,110.09514285714286,,,95.70480689225933,91.12304517312543,85.83590460903463
61,Sandy Alcantara,MIA,35.1,100.3273469387755,106.72466019417477,99.88976744186044,,103.40881618596642,,95.81946902654869,,,101.32223953641501,98.13581805016382,101.18754562733035
