rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
104,José Suarez,ATL,0.5555555555555556,5.0,0.333333333,0.555555555,0.111111111,1.0,0.0,1.0,2.454545880152248,26.0,40.0,66.0,0.77777778,0.22222222,0.0,0.11111111,0.44444444,0.44444444
105,Reynaldo López,ATL,0.22641509433962265,0.769230769,0.178571428,0.357142857,0.464285714,0.076923076,0.115384615,19.0,8.27419380293181,132.0,201.0,333.0,0.39285714,0.32142857,0.28571429,0.21428571,0.48214286,0.30357143
106,Gavin Williams,CLE,0.17073170731707318,1.533333333,0.136363636,0.522727272,0.34090909,0.0,0.2,12.0,4.764706015999345,144.0,225.0,369.0,0.54545455,0.29545455,0.15909091,0.09090909,0.52272727,0.38636364
107,Kumar Rocker,TEX,0.3023255813953488,1.411764705,0.088888888,0.533333333,0.377777777,0.117647058,0.117647058,6.0,3.681818341420709,100.0,160.0,260.0,0.37777778,0.33333333,0.28888889,0.15555556,0.53333333,0.31111111
108,Bubba Chandler,PIT,0.20754716981132076,1.1,0.222222222,0.407407407,0.37037037,0.1,0.1,15.0,6.750000321865097,128.0,217.0,345.0,0.4,0.4,0.2,0.10909091,0.43636364,0.45454545
109,Anthony Kay,CHW,0.2,1.0,0.307692307,0.346153846,0.346153846,0.222222222,0.111111111,8.0,6.967742792897722,75.0,117.0,192.0,0.53846154,0.26923077,0.19230769,0.23076923,0.34615385,0.42307692
110,Garrett Crochet,BOS,0.35714285714285715,1.333333333,0.275862068,0.413793103,0.310344827,0.055555555,0.166666666,6.0,2.8421054058127857,125.0,210.0,335.0,0.42372881,0.37288136,0.20338983,0.18644068,0.50847458,0.30508475
111,Tatsuya Imai,HOU,0.3684210526315789,2.2,0.157894736,0.578947368,0.263157894,0.4,0.0,14.0,14.538464254793839,95.0,111.0,206.0,0.47368421,0.31578947,0.21052632,0.26315789,0.47368421,0.26315789
112,Jake Irvin,WSN,0.27450980392156865,0.68,0.222222222,0.314814814,0.462962962,0.16,0.12,8.0,3.789473684210526,138.0,225.0,363.0,0.35185185,0.31481481,0.33333333,0.16666667,0.40740741,0.42592593
113,Cade Cavalli,WSN,0.32608695652173914,1.466666666,0.195652173,0.478260869,0.326086956,0.0,0.0,15.0,8.617022150833266,128.0,173.0,301.0,0.26086957,0.45652174,0.2826087,0.17391304,0.63043478,0.19565217
114,Brandon Young,BAL,0.14285714285714285,1.333333333,0.0,0.571428571,0.428571428,0.166666666,0.0,2.0,3.6,27.0,39.0,66.0,0.5,0.42857143,0.07142857,0.07142857,0.64285714,0.28571429
115,Martín Pérez,ATL,0.20408163265306123,1.117647058,0.25,0.395833333,0.354166666,0.117647058,0.058823529,10.0,5.625,96.0,159.0,255.0,0.58,0.24,0.18,0.08,0.58,0.34
116,J.T. Ginn,ATH,0.09090909090909091,1.444444444,0.0,0.59090909,0.409090909,0.222222222,0.111111111,3.0,2.892857241387273,55.0,91.0,146.0,0.43478261,0.34782609,0.2173913,0.30434783,0.43478261,0.26086957
117,Mason Englert,TBR,0.4375,0.285714285,0.4375,0.125,0.4375,0.0,0.0,0.0,0.0,17.0,48.0,65.0,0.5625,0.25,0.1875,0.0,0.5,0.5
118,Shane McClanahan,TBR,0.11764705882352941,1.076923076,0.181818181,0.424242424,0.393939393,0.076923076,0.076923076,12.0,7.902439392017243,97.0,134.0,231.0,0.44117647,0.29411765,0.26470588,0.17647059,0.41176471,0.41176471
119,Cody Ponce,TOR,0.16666666666666666,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,17.0,30.0,47.0,0.66666667,0.0,0.33333333,0.16666667,0.5,0.33333333
120,Chris Sale,ATL,0.24074074074074073,1.041666666,0.155172413,0.431034482,0.413793103,0.083333333,0.166666666,19.0,7.7727272727272725,111.0,230.0,341.0,0.44827586,0.34482759,0.20689655,0.10344828,0.5862069,0.31034483
121,Yusei Kikuchi,LAA,0.3684210526315789,1.0,0.233333333,0.383333333,0.383333333,0.04347826,0.130434782,13.0,6.500000344382411,131.0,225.0,356.0,0.5,0.33333333,0.16666667,0.11666667,0.4,0.48333333
122,Robbie Ray,SFG,0.18,0.48275862,0.203703703,0.259259259,0.537037037,0.068965517,0.137931034,11.0,4.432836073282502,150.0,238.0,388.0,0.2962963,0.40740741,0.2962963,0.11111111,0.61111111,0.27777778
123,Logan Henderson,MIL,0.6,0.5,0.4,0.2,0.4,0.0,0.0,2.0,9.0,12.0,23.0,35.0,0.4,0.4,0.2,0.2,0.6,0.2
124,Sonny Gray,BOS,0.2753623188405797,1.904761904,0.152777777,0.555555555,0.291666666,0.0,0.142857142,11.0,4.868852535136059,138.0,212.0,350.0,0.54166667,0.33333333,0.125,0.19444444,0.51388889,0.29166667
125,Sean Burke,CHW,0.30434782608695654,1.666666666,0.130434782,0.54347826,0.326086956,0.133333333,0.133333333,4.0,2.511627962680816,103.0,172.0,275.0,0.3125,0.41666667,0.27083333,0.16666667,0.5,0.33333333
126,Colin Rea,CHC,0.13333333333333333,1.6,0.133333333,0.533333333,0.333333333,0.2,0.0,6.0,10.8,28.0,51.0,79.0,0.4,0.2,0.4,0.2,0.66666667,0.13333333
127,Zach Pop,PHI,0.375,2.5,0.125,0.625,0.25,0.0,0.0,0.0,0.0,12.0,25.0,37.0,0.125,0.625,0.25,0.0,0.375,0.625
128,Noah Schultz,CHW,0.25,1.5,0.545454545,0.272727272,0.181818181,0.0,0.0,3.0,6.230769687855771,31.0,51.0,82.0,0.33333333,0.5,0.16666667,0.08333333,0.66666667,0.25
129,Ryne Nelson,ARI,0.16363636363636364,0.655172413,0.172413793,0.327586206,0.5,0.137931034,0.137931034,17.0,7.524590987410888,123.0,218.0,341.0,0.31034483,0.4137931,0.27586207,0.17241379,0.48275862,0.34482759
130,Mason Montgomery,PIT,0.3333333333333333,0.5,0.0,0.333333333,0.666666666,0.0,0.0,2.0,18.0,2.0,9.0,11.0,0.33333333,0.33333333,0.33333333,0.0,0.66666667,0.33333333
131,Riley Martin,CHC,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.5,0.5,0.0,0.5,0.5
132,Cole Sulser,TBR,0.42857142857142855,1.0,0.142857142,0.428571428,0.428571428,0.0,0.0,1.0,4.5,14.0,22.0,36.0,0.57142857,0.28571429,0.14285714,0.0,0.42857143,0.57142857
133,Cade Horton,CHC,0.15789473684210525,2.2,0.2,0.55,0.25,0.0,0.2,10.0,12.272727804735695,31.0,61.0,92.0,0.25,0.35,0.4,0.15,0.6,0.25
134,Braydon Fisher,TOR,0.25,0.5,0.25,0.25,0.5,0.0,0.0,0.0,0.0,2.0,9.0,11.0,0.75,0.25,0.0,0.0,0.5,0.5
135,Cody Bolton,HOU,0.3076923076923077,1.0,0.272727272,0.363636363,0.363636363,0.0,0.0,3.0,5.062500301748532,49.0,56.0,105.0,0.15384615,0.46153846,0.38461538,0.0,0.53846154,0.46153846
136,Jordan Leasure,CHW,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,9.0,12.0,21.0,0.25,0.75,0.0,0.5,0.25,0.25
137,Zach Eflin,BAL,0.42857142857142855,2.0,0.25,0.5,0.25,0.0,0.5,0.0,0.0,30.0,44.0,74.0,0.75,0.25,0.0,0.0,0.25,0.75
138,Mason Fluharty,TOR,0.4,0.25,0.0,0.2,0.8,0.25,0.0,0.0,0.0,8.0,12.0,20.0,0.2,0.8,0.0,0.2,0.6,0.2
139,Chris Paddack,MIA,0.35555555555555557,0.85,0.229166666,0.354166666,0.416666666,0.05,0.2,2.0,1.2272727804735695,89.0,178.0,267.0,0.42857143,0.26530612,0.30612245,0.10204082,0.57142857,0.32653061
140,Patrick Corbin,TOR,0.3076923076923077,0.615384615,0.222222222,0.296296296,0.481481481,0.0,0.153846153,6.0,5.586207263960165,62.0,102.0,164.0,0.5,0.35714286,0.14285714,0.07142857,0.57142857,0.35714286
141,Jimmy Herget,COL,0.14285714285714285,0.5,0.0,0.333333333,0.666666666,0.0,0.0,0.0,0.0,10.0,24.0,34.0,0.42857143,0.28571429,0.28571429,0.0,0.42857143,0.57142857
142,Slade Cecconi,CLE,0.25925925925925924,1.285714285,0.142857142,0.482142857,0.375,0.095238095,0.142857142,3.0,1.372881400314635,138.0,213.0,351.0,0.42105263,0.40350877,0.1754386,0.14035088,0.52631579,0.33333333
143,Simeon Woods Richardson,MIN,0.3142857142857143,0.870967741,0.205479452,0.369863013,0.424657534,0.161290322,0.129032258,7.0,3.0483871905538247,131.0,200.0,331.0,0.37837838,0.36486486,0.25675676,0.13513514,0.47297297,0.39189189
144,Andre Pallante,STL,0.2692307692307692,1.444444444,0.16981132,0.490566037,0.339622641,0.0,0.055555555,6.0,3.6,104.0,167.0,271.0,0.43396226,0.33962264,0.22641509,0.16981132,0.49056604,0.33962264
145,Matt Waldron,SDP,0.5,0.857142857,0.133333333,0.4,0.466666666,0.142857142,0.142857142,0.0,0.0,29.0,52.0,81.0,0.26666667,0.46666667,0.26666667,0.13333333,0.53333333,0.33333333
146,Shane Drohan,MIL,0.3333333333333333,2.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,35.0,28.0,63.0,0.55555556,0.33333333,0.11111111,0.11111111,0.77777778,0.11111111
147,Tomoyuki Sugano,COL,0.22950819672131148,0.933333333,0.121212121,0.424242424,0.454545454,0.033333333,0.166666666,7.0,3.0483871905538247,127.0,197.0,324.0,0.37878788,0.36363636,0.25757576,0.10606061,0.5,0.39393939
