rank,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+
48,MacKenzie Gore,TEX,21.0,145.256348950917,118.12222100207642,122.97122566307817,81.86360257608062,154.48747062732747,125.62895794276324,69.76278063093233,81.64448651061133,84.59840918009756,112.15273224835836,72.05243675069445,77.37631444366933,68.79613724046963,86.98721971560744,125.7823572126186,78.96825636908646
49,Joey Cantillo,CLE,20.2,118.07935835011412,98.20425427806744,120.23853174141843,83.18398588276754,129.69318526123436,107.86324719901582,94.30894418626036,90.1753648697798,105.56410188994785,113.40085481543206,62.61552224473158,82.42839078495867,83.1762707795068,86.98721971560742,100.0541477773073,106.30342204512134
50,Chase Burns,CIN,22.1,104.95870039857311,100.5350555117883,104.40009739956473,119.54649099980823,113.33461097992003,108.55795049971783,80.67520871021372,82.88556846106671,78.15070069501965,125.99640320701799,58.05588986396017,96.51579835706667,94.67015743270122,74.18142367488768,100.9580103503937,111.87319687410447
51,Paul Skenes,PIT,22.0,111.39212290736158,79.378691137322,140.33000104507227,80.90520355441076,118.4861840414297,84.43396114596203,69.91851421551854,70.11784423764904,71.63814230376802,101.05961499000429,80.90675851222704,84.96686779542594,94.23271590230686,57.65919752398566,100.44404226622834,120.77220119204337
52,George Kirby,SEA,33.1,82.3603492567322,54.12145359315454,152.17689177327694,103.1481384963779,91.61466268154796,60.202741832545506,95.48780598858865,78.27221367296178,89.63629197396855,115.0173144763784,75.23113898083577,97.57360616889173,83.8922556360254,50.50870813778442,144.59438138299006,76.8127951986253
53,David Peterson,NYM,19.2,113.77264571098445,126.85214390147368,89.68917460047862,45.252062383689896,98.14543614893235,109.42840346666567,128.45494472153408,141.18643696712215,137.37427856546424,85.64924037840561,166.93469483441464,82.23997846020109,89.75026077228733,117.45392086261737,127.88014638244958,59.044187261252254
54,Brandon Woodruff,MIL,23.2,90.04139584535656,42.164937742500136,213.5456538106634,112.81147884717682,96.45498786546158,45.168319430683,85.93269422166584,71.69796329499778,79.92685298354283,95.83768958569492,86.87417140670351,91.32134155712622,104.15690143688136,77.72685919228931,71.0863166418427,144.5714292318612
55,Sandy Alcantara,MIA,35.1,69.35735697562556,84.72765640269256,81.85916726561487,100.74987239044853,74.47702994299361,90.98190085562798,83.63965207489349,80.76781569925983,73.85241215679356,106.94139158394566,75.97097020076798,108.55552488328131,114.7047398061085,56.99969681148451,106.06529782098293,114.61518714595391
56,Bailey Ober,MIN,19.2,72.38197632671991,57.3320479642163,126.25045836005195,87.41367618318287,72.09415290105756,57.10407170391335,107.44056932611943,94.76054868945938,99.10099361097143,84.39891202473967,129.0693472636494,94.95971150278716,108.42382380688447,128.47343262895652,81.2747539060077,105.97633466411071
57,Luis Castillo,SEA,18.1,94.2845778494279,86.10231522191725,109.5029485518307,46.885518961705046,84.55848300910269,77.22027879245975,137.92683087240582,134.1809419130203,139.86027324129034,81.51411134283273,136.78389332524907,83.06672939906736,101.90673152740675,126.27177060542274,96.82659466967736,90.52936584270216
58,Ranger Suarez,BOS,22.1,68.29216192972378,60.58371526001498,112.72362353576068,76.9762209177564,76.34555216167088,67.72808468295985,95.48780598858863,80.10802060680886,88.08977209864128,105.55551274547288,73.27914730177405,90.21585380284797,89.24295884981575,152.56220118164546,103.44059583671346,70.65088960598833
59,Walker Buehler,SDP,17.2,108.55934428325473,84.7276586895584,128.12739228639805,50.37493755488326,111.78208185124294,87.24291848327951,103.003498797687,96.04821585640117,112.23770844497506,89.83076894160205,120.0108161212124,74.43198124952268,78.79650579326615,154.1582709339818,105.50112079429394,66.4247107353335
60,Max Meyer,MIA,19.2,108.35490067712806,114.16692951132632,94.90917946191504,90.50412476737979,103.03146440356228,108.55795049971783,91.43190320490889,101.96798225403265,92.54688240199695,101.55744560298763,102.36766562496966,93.1844937230234,95.1910530326222,127.5792588133386,95.24866074588712,91.62029061445335
61,Mitch Keller,PIT,22.0,67.80389777721194,102.05831247594115,66.43642560625686,40.452599914034,70.51931324676221,106.14555188277892,95.60012232160325,94.6590853610051,91.97736312567699,109.4179290825951,70.79341043758609,94.13305385600248,115.05222094041163,144.14799354569286,87.19100880295844,92.59202089618665
62,Andrew Painter,PHI,9.1,102.74366492714238,53.45911787963302,192.19108842959704,0.0,97.14395213897762,50.545500239469874,138.08906557564916,123.95833028997845,147.4779351825371,92.39736226865557,119.51531826958853,43.56078907190182,92.50397427487675,102.29857628633215,89.1035859110328,111.42209523845057
63,Michael King,SDP,22.2,94.01381047936906,110.06288909064683,85.41826152426536,39.262818664913645,97.49213827749168,114.13500125978895,84.9778865080918,88.47221951833532,89.40969994769196,105.45351136020258,72.75165429332917,90.70464164313583,110.59966060914894,91.12804208503367,99.21735487649535,105.36333423319122
64,Jack Flaherty,DET,20.0,106.76341672134669,157.8542411521162,67.63417412145641,42.978391450031346,104.45459647806794,154.44055855568874,83.68258427794935,104.36295255923176,92.02235121018776,99.2257479984683,95.66873840093481,101.65333591173935,123.86165849062249,106.51496300228231,78.40978118192587,119.75405928579133
65,Gavin Williams,CLE,29.2,137.09587662087262,129.22256962131223,106.0928221300856,115.89678289004985,152.24852156197065,143.50501505363377,56.29666566220646,75.38254802364989,57.80891293973334,131.83623970016416,50.88976619210136,95.22378015827606,74.5116093069946,53.99206717572175,132.4854922176696,87.97524591842048
66,Matthew Boyd,CHC,9.1,194.0713869146991,80.1886850130808,242.01840762361243,95.35256993097973,208.29063618723808,86.063960899973,99.97398412716679,90.90278483437572,153.85919199331994,43.31126360674356,173.15757007293368,45.100051533930205,42.723413753331755,124.36297481337142,54.1610030789616,140.66409313433059
67,Andrew Abbott,CIN,24.2,64.79330417457483,111.25276221018596,58.23972373936602,72.15869638826982,59.64979508557007,102.42114647907047,132.0044838960649,134.45570648907471,122.67842550962386,89.63923211994448,140.1709843662765,101.07191181650579,117.52193818146382,115.42885306105606,108.47764133470403,82.45826144672846
68,Zac Gallen,ARI,25.2,58.11762810579957,68.03887666933555,85.41826152426536,69.34731585612982,57.69762001159427,67.54716870447852,127.87934377431284,114.19191532761097,117.22605104252948,106.30946514095454,87.46276778118278,98.56703771936834,111.53566075178622,96.09866218761435,107.24494084144993,93.59845596368844
69,Aaron Civale,ATH,20.1,80.01005587412057,66.54277243417053,120.23853174141843,84.54765656726472,78.69024692239245,65.44511601627407,108.68530762928788,98.98594008021362,102.97212617390001,111.0008367440803,81.56137751373413,91.65259055150527,107.78954438201286,96.35507421075572,92.35767487136057,109.90138400162289
70,Janson Junk,MIA,22.0,72.64703648189129,68.03887793336668,106.7728269053317,80.90520333521413,73.11910359478415,68.48100118045558,113.63322033058782,101.67087386913398,107.03248138665735,86.62252721348712,111.84615441548138,95.9876163162661,102.50061502500058,78.88696167084667,116.80992474156982,91.21005053815655
71,Yusei Kikuchi,LAA,24.0,114.38937414950064,103.35694279009742,110.67410308324351,107.44597777117441,106.47109465702687,96.20235560993302,120.02956532796776,121.13556897212354,125.67154986898552,97.66833403830738,131.6590405641544,95.16473247980356,91.89401318825051,115.9829599687588,103.38928606856818,88.58618512264385
