rank,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
13,Joe Ryan,MIN,2.0,2.0,0.0,5.0,5.0,27.1,9.219512302346489,1.9756097790742477,0.3292682965123746,0.24285714285714285,0.56910569,0.314285714,0.027777777,93.36308436239919,3.292682965123746,2.656461554696593,2.4461727108010787,3.7780336556549656,0.9637599826332488
14,Keider Montero,DET,1.0,2.0,0.0,4.0,4.0,22.0,7.363636682841418,1.2272727804735695,0.0,0.265625,0.5,0.365079365,0.0,94.5629312390479,3.681818341420709,1.8922018485401042,1.9140218896314112,3.8477721765058694,0.9628753995929586
15,Nick Pivetta,SDP,1.0,2.0,0.0,4.0,4.0,16.0,13.5,3.375,0.0,0.3333333333333333,0.55555556,0.333333333,0.0,94.36178152901786,4.5,1.7613244324278572,1.2662946701049806,3.0674894156865777,0.8476873328310499
16,Randy Vásquez,SDP,2.0,0.0,0.0,5.0,5.0,28.2,9.41860486005306,2.511627962680816,0.313953495335102,0.3013698630136986,0.85443038,0.424657534,0.035714285,94.91519187644676,1.8837209720106118,5.431262135104977,2.5482714011386767,3.4352070454284176,0.8464703909603566
17,Max Fried,NYY,2.0,1.0,0.0,5.0,5.0,33.1,6.210000236892709,2.160000082397464,0.270000010299683,0.1935483870967742,0.65217391,0.451612903,0.028571428,94.97718370225695,2.9700001132965133,2.2744434027686355,3.051294666671753,4.102250503227815,0.8379794464933094
18,Reid Detmers,LAA,1.0,2.0,0.0,5.0,5.0,28.2,9.732558679168095,2.511628046236928,0.627907011559232,0.27631578947368424,0.64102564,0.389610389,0.058823529,94.32539855647208,4.081395575135008,2.7339180553463143,3.0366435015117754,3.757324507577743,0.813843680466694
19,Shota Imanaga,CHC,2.0,1.0,0.0,5.0,5.0,29.0,9.931034482758621,1.8620689655172413,0.9310344827586207,0.1791044776119403,0.83333333,0.314285714,0.088235294,92.15933407054229,2.1724137931034484,2.5698160311797476,2.8999153597601532,3.1640367745325486,0.8063461243638437
20,Landen Roupp,SFG,4.0,1.0,0.0,5.0,5.0,27.2,10.084337581136717,3.903614547536794,0.0,0.24615384615384617,0.7,0.507692307,0.0,92.96437181745257,2.2771084860631294,2.5814956294147207,2.4184030872277966,3.3608526831656023,0.8031661087042564
21,Tyler Glasnow,LAD,2.0,0.0,0.0,4.0,4.0,25.0,10.44,2.16,0.72,0.22413793103448276,0.65934066,0.433333333,0.083333333,95.50464913504464,3.24,2.6152720108310907,2.5812946701049806,2.8587399697303773,0.8008229313335828
22,Logan Gilbert,SEA,1.0,3.0,0.0,5.0,5.0,29.0,9.93103480934389,1.5517241889599829,0.9310345133759897,0.35135135135135137,0.71428571,0.328947368,0.09090909,95.70510153574486,4.034482891295956,3.080777231674694,2.8999153518223166,3.1167147442836622,0.7875364234850939
